=== IMM_GEN UNIT TEST REPORT ===
PASS | Input: 0xc5d ImmSrc: 0 -> ext=0x1d lui=0x7400
PASS | Input: 0x66a ImmSrc: 0 -> ext=0xffea lui=0xa800
PASS | Input: 0x8b8 ImmSrc: 0 -> ext=0xfff8 lui=0xe000
PASS | Input: 0x6fa ImmSrc: 0 -> ext=0xfffa lui=0xe800
PASS | Input: 0x407 ImmSrc: 1 -> ext=0x407 lui=0x1c00
PASS | Input: 0x455 ImmSrc: 1 -> ext=0x455 lui=0x5400
PASS | Input: 0x145 ImmSrc: 1 -> ext=0x145 lui=0x1400
PASS | Input: 0x59 ImmSrc: 0 -> ext=0x19 lui=0x6400
PASS | Input: 0x668 ImmSrc: 0 -> ext=0xffe8 lui=0xa000
PASS | Input: 0x490 ImmSrc: 0 -> ext=0x10 lui=0x4000
PASS | Input: 0x51c ImmSrc: 1 -> ext=0x51c lui=0x7000
PASS | Input: 0xfab ImmSrc: 0 -> ext=0xffeb lui=0xac00
PASS | Input: 0x56f ImmSrc: 0 -> ext=0xffef lui=0xbc00
PASS | Input: 0x845 ImmSrc: 1 -> ext=0xf845 lui=0x1400
PASS | Input: 0x38b ImmSrc: 0 -> ext=0xb lui=0x2c00
PASS | Input: 0xfdc ImmSrc: 0 -> ext=0x1c lui=0x7000
PASS | Input: 0xd19 ImmSrc: 1 -> ext=0xfd19 lui=0x6400
PASS | Input: 0xe3e ImmSrc: 1 -> ext=0xfe3e lui=0xf800
PASS | Input: 0xc58 ImmSrc: 0 -> ext=0x18 lui=0x6000
PASS | Input: 0x35c ImmSrc: 0 -> ext=0x1c lui=0x7000
PASS | Input: 0x9a ImmSrc: 0 -> ext=0x1a lui=0x6800
PASS | Input: 0x6c5 ImmSrc: 0 -> ext=0x5 lui=0x1400
PASS | Input: 0x31a ImmSrc: 1 -> ext=0x31a lui=0x6800
PASS | Input: 0x9b2 ImmSrc: 0 -> ext=0xfff2 lui=0xc800
PASS | Input: 0xee9 ImmSrc: 1 -> ext=0xfee9 lui=0xa400
PASS | Input: 0x3eb ImmSrc: 0 -> ext=0xffeb lui=0xac00
PASS | Input: 0x3f2 ImmSrc: 1 -> ext=0x3f2 lui=0xc800
PASS | Input: 0x36f ImmSrc: 1 -> ext=0x36f lui=0xbc00
PASS | Input: 0x8ad ImmSrc: 0 -> ext=0xffed lui=0xb400
PASS | Input: 0x225 ImmSrc: 1 -> ext=0x225 lui=0x9400
PASS | Input: 0xdab ImmSrc: 1 -> ext=0xfdab lui=0xac00
PASS | Input: 0xe80 ImmSrc: 1 -> ext=0xfe80 lui=0x0
PASS | Input: 0xd82 ImmSrc: 0 -> ext=0x2 lui=0x800
PASS | Input: 0x557 ImmSrc: 0 -> ext=0x17 lui=0x5c00
PASS | Input: 0x332 ImmSrc: 1 -> ext=0x332 lui=0xc800
PASS | Input: 0xee4 ImmSrc: 0 -> ext=0xffe4 lui=0x9000
PASS | Input: 0xcaa ImmSrc: 0 -> ext=0xffea lui=0xa800
PASS | Input: 0x82e ImmSrc: 0 -> ext=0xffee lui=0xb800
PASS | Input: 0x271 ImmSrc: 1 -> ext=0x271 lui=0xc400
PASS | Input: 0x1bc ImmSrc: 0 -> ext=0xfffc lui=0xf000
PASS | Input: 0x717 ImmSrc: 1 -> ext=0x717 lui=0x5c00
PASS | Input: 0x1eb ImmSrc: 1 -> ext=0x1eb lui=0xac00
PASS | Input: 0xe89 ImmSrc: 1 -> ext=0xfe89 lui=0x2400
PASS | Input: 0x6bf ImmSrc: 0 -> ext=0xffff lui=0xfc00
PASS | Input: 0xad3 ImmSrc: 0 -> ext=0x13 lui=0x4c00
PASS | Input: 0xc82 ImmSrc: 0 -> ext=0x2 lui=0x800
